PA,SZ,senior_pop_2025,total_pop_2025,aging_index_2025,senior_pop_2015,senior_pop_2020,senior_growth_rate,infra_count_weighted,infra_density,dist_nearest_hospital_km,dist_nearest_poly_km,demand_supply_ratio,cluster_id,cluster_label,cluster_color
Novena,Malcolm,620,3480,0.1781609195402299,430.0,530,0.037271208560870184,0.0,0.0,1.348299436536779,4.607470456366475,620.0,2,Emerging Pressure,#D4A017
Novena,Moulmein,1330,12260,0.10848287112561175,870.0,1070,0.04335773204453308,7.0,0.54858934169279,0.60498242335094,4.2391378467754715,2.800149140270023,0,Well-Served,#1A7A3C
Novena,Mount Pleasant,130,590,0.22033898305084745,50.0,90,0.10026509310601806,0.0,0.0,2.392493376866484,5.931433787573427,130.0,0,Well-Served,#1A7A3C
Orchard,Boulevard,80,430,0.18604651162790697,0.0,40,0.0,2.0,2.1505376344086025,1.4391080309112285,2.933586055003254,0.0431273608187961,0,Well-Served,#1A7A3C
Orchard,Tanglin,70,680,0.10294117647058823,10.0,0,0.2148140440390669,2.0,1.6949152542372878,2.2446436714209024,2.511142074157328,0.04901215315013989,0,Well-Served,#1A7A3C
Outram,China Square,540,1290,0.4186046511627907,390.0,470,0.033077529462111066,3.0,1.675977653631285,1.4300341392139964,1.1101989116044484,0.35573453177867315,0,Well-Served,#1A7A3C
Outram,Chinatown,2320,10090,0.22993062438057482,1940.0,2090,0.018048868361250303,2.0,0.18885741265344666,1.019576692125391,0.6888573497792005,13.090231712682375,0,Well-Served,#1A7A3C
Outram,Pearl's Hill,2100,5490,0.3825136612021858,2040.0,2070,0.0029029591363336493,4.0,0.667779632721202,0.8290417902890631,0.6339690768619081,3.3296290501924575,0,Well-Served,#1A7A3C
Pasir Ris,Flora Drive,2570,16450,0.15623100303951368,1260.0,1780,0.07388124548002817,4.0,0.2359882005899705,2.831281336511876,1.4612689398390275,12.84495176529337,0,Well-Served,#1A7A3C
Pasir Ris,Loyang East,510,2120,0.24056603773584906,230.0,370,0.08288972768890734,0.0,0.0,4.0885838978943,1.7557645690541583,510.0,2,Emerging Pressure,#D4A017
Pasir Ris,Loyang West,520,540,0.9629629629629629,150.0,120,0.13237743997702345,0.0,0.0,5.129622324217063,1.9087971416260217,520.0,2,Emerging Pressure,#D4A017
Pasir Ris,Pasir Ris Central,4550,31690,0.1435784159040707,1980.0,3230,0.08676244111878706,13.0,0.40385212799005904,3.568816301055217,1.3756433734502698,13.700485955554019,0,Well-Served,#1A7A3C
Pasir Ris,Pasir Ris Drive,9580,51090,0.18751223331376002,4950.0,6880,0.06825769783533353,8.0,0.1550688117852297,3.215739254518116,0.23594452459385346,71.61026314768039,0,Well-Served,#1A7A3C
